facet_id,facet_raw,facet_normalized,facet_category,conversation_observable,sensitivity,reason_for_benchmark
b2f9b745a003,Risktaking,risktaking,finance_risk,uncertain,normal,Representative of finance_risk (uncertain)
f8ba0af9398d,Naivety,naivety,unclear,uncertain,normal,Representative of unclear (uncertain)
ac8daa967be0,Acidity,acidity,emotional_regulation,true,normal,Representative of emotional_regulation (true)
9ab843918eaf,Democratic Leadership:,democratic leadership,values,true,normal,Representative of values (true)
dd6637afcb6a,Common-sense,common-sense,values,true,normal,Representative of values (true)
5e5aacf86a7e,Hesitation,hesitation,communication,true,normal,Representative of communication (true)
1f57bbd92bc2,Discontentment,discontentment,emotional_regulation,true,normal,Representative of emotional_regulation (true)
9edb2d160a01,Overprotectiveness,overprotectiveness,social_interaction,true,normal,Representative of social_interaction (true)
b426f2932692,Merriness,merriness,emotional_regulation,true,normal,Representative of emotional_regulation (true)
b7c1258315d0,Self-improvement,self-improvement,unclear,uncertain,normal,Representative of unclear (uncertain)
862d20660978,Statistical Reasoning,statistical reasoning,skills,false,normal,Representative of skills (false)
88a69bd473fc,Assertiveness and control in relationships,assertiveness and control in relationships,communication,true,normal,Representative of communication (true)
1190709e448a,Cunningness,cunningness,unclear,uncertain,normal,Representative of unclear (uncertain)
f04dff4e11a0,Specialist,specialist,skills,false,normal,Representative of skills (false)
d1e502e113bd,Aloofness,aloofness,social_interaction,true,normal,Representative of social_interaction (true)
b4f70fd12341,Genuine,genuine,values,true,normal,Representative of values (true)
e3604e7bb2ff,Relationship Building Themes:,relationship building themes,social_interaction,true,normal,Representative of social_interaction (true)
862b2393ab81,Numerical Reasoning Subcomponents:,numerical reasoning subcomponents,skills,false,normal,Representative of skills (false)
e26a2bb0c87d,FSH level,fsh level,health_medical,false,high,Representative of health_medical (false)
d3938413858b,Presence of Spiritual Pain,presence of spiritual pain,religion_culture,false,high,Representative of religion_culture (false)
ad0015dd3d99,Eco-tourism trips,eco-tourism trips,biography_external,false,normal,Representative of biography_external (false)
cc741e6baf39,Pilgrimage participation count,pilgrimage participation count,religion_culture,false,high,Representative of religion_culture (false)
42795ae12862,Creative risk-taking tendency,creative risk-taking tendency,finance_risk,uncertain,normal,Representative of finance_risk (uncertain)
e6ecfd6098a2,Sleep-disorder diagnosis,sleep-disorder diagnosis,health_medical,false,high,Representative of health_medical (false)
c96a6c4d0c32,Listening Skills Subcomponents:,listening skills subcomponents,communication,true,normal,Representative of communication (true)
