facet_id,facet_raw,facet_normalized,is_malformed,malformed_reason,facet_category,facet_type,conversation_observable,observability_reason,sensitivity,scoring_definition,anchor_1,anchor_3,anchor_5,abstention_reason,review_required,preprocessing_version
b2f9b745a003,Risktaking,risktaking,false,,finance_risk,preference_or_habit,uncertain,Risk preference requires contextual validation to be observable,sensitive,,,,,Risk preference requires contextual validation to be observable,true,v1.2
f8ba0af9398d,Naivety,naivety,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
ac8daa967be0,Acidity,acidity,false,,emotional_regulation,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: acidity.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of acidity).","Mixed, moderate, or limited but sufficient evidence of acidity.",Strong and repeated linguistic evidence of the high end of acidity.,,false,v1.2
9ab843918eaf,Democratic Leadership:,democratic leadership,false,,values,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: democratic leadership.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of democratic leadership).","Mixed, moderate, or limited but sufficient evidence of democratic leadership.",Strong and repeated linguistic evidence of the high end of democratic leadership.,,false,v1.2
dd6637afcb6a,Common-sense,common-sense,false,,values,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: common-sense.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of common-sense).","Mixed, moderate, or limited but sufficient evidence of common-sense.",Strong and repeated linguistic evidence of the high end of common-sense.,,false,v1.2
5e5aacf86a7e,Hesitation,hesitation,false,,communication,conversational_behavior,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the frequency and intensity of hesitation behavior in conversation.,"Strong linguistic evidence of the low end (e.g., deliberate avoidance of hesitation).","Mixed, moderate, or limited but sufficient evidence of hesitation.",Strong and repeated linguistic evidence of the high end of hesitation.,,false,v1.2
1f57bbd92bc2,Discontentment,discontentment,false,,emotional_regulation,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: discontentment.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of discontentment).","Mixed, moderate, or limited but sufficient evidence of discontentment.",Strong and repeated linguistic evidence of the high end of discontentment.,,false,v1.2
9edb2d160a01,Overprotectiveness,overprotectiveness,false,,social_interaction,conversational_behavior,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the frequency and intensity of overprotectiveness behavior in conversation.,"Strong linguistic evidence of the low end (e.g., deliberate avoidance of overprotectiveness).","Mixed, moderate, or limited but sufficient evidence of overprotectiveness.",Strong and repeated linguistic evidence of the high end of overprotectiveness.,,false,v1.2
b426f2932692,Merriness,merriness,false,,emotional_regulation,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: merriness.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of merriness).","Mixed, moderate, or limited but sufficient evidence of merriness.",Strong and repeated linguistic evidence of the high end of merriness.,,false,v1.2
1dbf1449c509,Emotionalism,emotionalism,false,,emotional_regulation,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: emotionalism.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of emotionalism).","Mixed, moderate, or limited but sufficient evidence of emotionalism.",Strong and repeated linguistic evidence of the high end of emotionalism.,,false,v1.2
b7c1258315d0,Self-improvement,self-improvement,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
862d20660978,Statistical Reasoning,statistical reasoning,false,,skills,skill_or_knowledge,false,"Skill evaluation requires task execution evidence, not casual self-description",ordinary,,,,,"Skill evaluation requires task execution evidence, not casual self-description",true,v1.2
88a69bd473fc,Assertiveness and control in relationships,assertiveness and control in relationships,false,,communication,conversational_behavior,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the frequency and intensity of assertiveness and control in relationships behavior in conversation.,"Strong linguistic evidence of the low end (e.g., deliberate avoidance of assertiveness and control in relationships).","Mixed, moderate, or limited but sufficient evidence of assertiveness and control in relationships.",Strong and repeated linguistic evidence of the high end of assertiveness and control in relationships.,,false,v1.2
1190709e448a,Cunningness,cunningness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
7b53f941e0e4,Adventure-Seeking Behavior,adventure-seeking behavior,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
ea161cbbd551,Compassion Fatigue,compassion fatigue,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
ab47186e53cc,Moroseness,moroseness,false,,emotional_regulation,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: moroseness.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of moroseness).","Mixed, moderate, or limited but sufficient evidence of moroseness.",Strong and repeated linguistic evidence of the high end of moroseness.,,false,v1.2
f04dff4e11a0,Specialist,specialist,false,,skills,skill_or_knowledge,false,"Skill evaluation requires task execution evidence, not casual self-description",ordinary,,,,,"Skill evaluation requires task execution evidence, not casual self-description",true,v1.2
d1e502e113bd,Aloofness,aloofness,false,,social_interaction,conversational_behavior,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the frequency and intensity of aloofness behavior in conversation.,"Strong linguistic evidence of the low end (e.g., deliberate avoidance of aloofness).","Mixed, moderate, or limited but sufficient evidence of aloofness.",Strong and repeated linguistic evidence of the high end of aloofness.,,false,v1.2
b4f70fd12341,Genuine,genuine,false,,values,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: genuine.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of genuine).","Mixed, moderate, or limited but sufficient evidence of genuine.",Strong and repeated linguistic evidence of the high end of genuine.,,false,v1.2
19dc6981ec0b,Determinedness,determinedness,false,,values,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: determinedness.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of determinedness).","Mixed, moderate, or limited but sufficient evidence of determinedness.",Strong and repeated linguistic evidence of the high end of determinedness.,,false,v1.2
43e7eaa389e6,HonestyHumility:,honestyhumility,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
e3604e7bb2ff,Relationship Building Themes:,relationship building themes,false,,social_interaction,conversational_behavior,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the frequency and intensity of relationship building themes behavior in conversation.,"Strong linguistic evidence of the low end (e.g., deliberate avoidance of relationship building themes).","Mixed, moderate, or limited but sufficient evidence of relationship building themes.",Strong and repeated linguistic evidence of the high end of relationship building themes.,,false,v1.2
1a84801d8325,Pure Challenge,pure challenge,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
862b2393ab81,Numerical Reasoning Subcomponents:,numerical reasoning subcomponents,false,,skills,skill_or_knowledge,false,"Skill evaluation requires task execution evidence, not casual self-description",ordinary,,,,,"Skill evaluation requires task execution evidence, not casual self-description",true,v1.2
24dae8152390,Openness,openness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
17330d39dd39,SelfEsteem,selfesteem,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
d72588fbe018,Comparing alphanumeric data,comparing alphanumeric data,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
d4aa0755adf7,Big-heartedness,big-heartedness,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
b21a8dc58622,Compulsive activities,compulsive activities,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
3c31a6256d67,Disrespect,disrespect,false,,social_interaction,conversational_behavior,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the frequency and intensity of disrespect behavior in conversation.,"Strong linguistic evidence of the low end (e.g., deliberate avoidance of disrespect).","Mixed, moderate, or limited but sufficient evidence of disrespect.",Strong and repeated linguistic evidence of the high end of disrespect.,,false,v1.2
e26a2bb0c87d,FSH level,fsh level,false,,health_medical,medical_or_diagnostic,false,Clinical biomarker or medical diagnosis requires objective medical evidence,high_risk,,,,,Clinical biomarker or medical diagnosis requires objective medical evidence,true,v1.2
620582aba2b4,Self Perspective,self perspective,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
43c111d0871f,Desperation,desperation,false,,emotional_regulation,conversational_trait,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the conversational expression of the trait: desperation.,"Strong linguistic evidence of the low end (e.g., explicitly demonstrating the opposite of desperation).","Mixed, moderate, or limited but sufficient evidence of desperation.",Strong and repeated linguistic evidence of the high end of desperation.,,false,v1.2
a9d9f4e4353a,Affiliation Motivation:,affiliation motivation,false,,social_interaction,conversational_behavior,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the frequency and intensity of affiliation motivation behavior in conversation.,"Strong linguistic evidence of the low end (e.g., deliberate avoidance of affiliation motivation).","Mixed, moderate, or limited but sufficient evidence of affiliation motivation.",Strong and repeated linguistic evidence of the high end of affiliation motivation.,,false,v1.2
fb86a0d479d3,Anatomy knowledge,anatomy knowledge,false,,skills,skill_or_knowledge,false,"Skill evaluation requires task execution evidence, not casual self-description",ordinary,,,,,"Skill evaluation requires task execution evidence, not casual self-description",true,v1.2
18673911fa56,Passive-Aggressive,passive-aggressive,false,,social_interaction,conversational_behavior,true,Direct linguistic evidence possible in short conversation,ordinary,Measures the frequency and intensity of passive-aggressive behavior in conversation.,"Strong linguistic evidence of the low end (e.g., deliberate avoidance of passive-aggressive).","Mixed, moderate, or limited but sufficient evidence of passive-aggressive.",Strong and repeated linguistic evidence of the high end of passive-aggressive.,,false,v1.2
d3938413858b,Presence of Spiritual Pain,presence of spiritual pain,false,,religion_culture,religious_or_cultural_practice,false,Religious or cultural practice requires external or self-reported history observation,sensitive,,,,,Religious or cultural practice requires external or self-reported history observation,true,v1.2
b29446d7e140,Role of Spirituality in Community Involvement,role of spirituality in community involvement,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
dc5d26f8a20f,Structure,structure,false,,unclear,unclear_or_malformed,uncertain,No explicit rule matched,ordinary,,,,,Classification uncertain; requires human review,true,v1.2
